Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Wed Dec 01 18:58:29 EST 2021,SExpressionWLambdaEvaluator.java,1638403109392,34437,0,(F)2(I)2,0.5,0.0,0.0,50.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,[]
,/modelData/A0UserStudy2010.arff,Wed Dec 01 18:58:29 EST 2021,SExpressionWLambdaEvaluator.java, 1638403109392
2,,Wed Dec 01 18:59:03 EST 2021,SExpressionWLambdaEvaluator.java,1638403143830,52204,0,(D)1(I)1(F)3,0.2,20.0,0.0,60.0,0.0,0.0,0.09615384615384616,0.0,0.019230769230769232,0.057692307692307696,0.0,0.0,0.019230769230769232,0.0,[]
3,,Wed Dec 01 18:59:56 EST 2021,SExpressionWLambdaEvaluator.java,1638403196034,26949,0,(F)1(I)1(R)1(I)2(F)2(R)1(F)2(I)3(R)2(I)1,0.4375,0.0,0.0,31.25,0.0,0.0,0.6153846153846154,0.0,0.0,0.19230769230769232,0.0,0.15384615384615385,0.2692307692307692,2.0,[1638403206558 76 Java-lisp-interpreter/src/main/lisp/parser/terms at master · avitkus/Java-lisp-interpreter https://github.com/avitkus/Java-lisp-interpreter/tree/master/src/main/lisp/parser/terms, 1638403206029 10 Java-lisp-interpreter/src/main/lisp/parser/terms at master · avitkus/Java-lisp-interpreter https://github.com/avitkus/Java-lisp-interpreter/blob/master/src/main/lisp/parser/terms/IdentifierAtom.java]
4,,Wed Dec 01 19:00:23 EST 2021,SExpressionWLambdaEvaluator.java,1638403223024,8472,8472,(I)2(R)2(I)11,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,1.875,0.0,0.0,0.0,0.0,0.25,1.625,0.0,[]
5,,Wed Dec 01 19:00:31 EST 2021,SExpressionWLambdaEvaluator.java,1638403231496,28339,0,(D)1(I)1(D)1(F)2(I)1(R)6(I)1(F)1,0.21428571428571427,14.285714285714285,0.0,21.428571428571427,0.0,0.0,0.5,0.0,0.07142857142857142,0.10714285714285714,0.0,0.21428571428571427,0.10714285714285714,2.0,[1638403255559 78 Java-lisp-interpreter/src/main/lisp/parser/terms at master · avitkus/Java-lisp-interpreter https://github.com/avitkus/Java-lisp-interpreter/tree/master/src/main/lisp/parser/terms, 1638403245863 13 Java-lisp-interpreter/Atom.java at master · avitkus/Java-lisp-interpreter https://github.com/avitkus/Java-lisp-interpreter/blob/master/src/main/lisp/parser/terms/Atom.java]
6,,Wed Dec 01 19:00:59 EST 2021,SExpressionWLambdaEvaluator.java,1638403259835,20152,0,(F)1(I)3(R)1(I)9(F)3,0.7058823529411765,0.0,0.0,23.52941176470588,0.0,0.0,0.85,0.0,0.0,0.2,0.0,0.05,0.6,2.0,[1638403270878 79 Java-lisp-interpreter/src/main/lisp/parser/terms at master · avitkus/Java-lisp-interpreter https://github.com/avitkus/Java-lisp-interpreter/tree/master/src/main/lisp/parser/terms, 1638403274298 11 Java-lisp-interpreter/IdentifierAtom.java at master · avitkus/Java-lisp-interpreter https://github.com/avitkus/Java-lisp-interpreter/blob/master/src/main/lisp/parser/terms/IdentifierAtom.java]
7,,Wed Dec 01 19:01:46 EST 2021,LambdaEvaluator.java,1638403306338,49235,0,(F)3(I)2(F)2(I)8,0.6666666666666666,0.0,0.0,33.33333333333333,0.0,0.0,0.30612244897959184,0.0,0.0,0.10204081632653061,0.0,0.0,0.20408163265306123,1.0,[1638403317360 12 Java-lisp-interpreter/src/main/lisp/evaluator/function at master · avitkus/Java-lisp-interpreter https://github.com/avitkus/Java-lisp-interpreter/tree/master/src/main/lisp/evaluator/function]
8,,Wed Dec 01 19:02:35 EST 2021,SExpressionWLambdaEvaluator.java,1638403355660,76409,0,(I)6(F)2(I)1(F)2(I)1(F)2(I)1,0.6,0.0,0.0,40.0,0.0,0.0,0.19736842105263158,0.0,0.0,0.07894736842105263,0.0,0.0,0.11842105263157894,1.0,[]
9,,Wed Dec 01 19:03:52 EST 2021,LambdaEvaluator.java,1638403432068,142609,0,(I)3(F)10(I)2,0.3333333333333333,0.0,0.0,66.66666666666666,0.0,0.0,0.1056338028169014,0.0,0.0,0.07042253521126761,0.0,0.0,0.035211267605633804,5.0,[1638403445858 48 Java-lisp-interpreter/src/main/lisp/evaluator at master · avitkus/Java-lisp-interpreter https://github.com/avitkus/Java-lisp-interpreter/tree/master/src/main/lisp/evaluator, 1638403448615 6 Java-lisp-interpreter/BasicExpressionEvaluator.java at master · avitkus/Java-lisp-interpreter https://github.com/avitkus/Java-lisp-interpreter/blob/master/src/main/lisp/evaluator/BasicExpressionEvaluator.java]
10,,Wed Dec 01 19:06:28 EST 2021,LambdaEvaluator.java,1638403588388,89035,0,(F)14,0.0,0.0,0.0,100.0,0.0,0.0,0.15730337078651685,0.0,0.0,0.15730337078651685,0.0,0.0,0.0,0.0,[]
11,,Wed Dec 01 19:07:57 EST 2021,FuncallEvaluator.java,1638403677423,-356450,-356450,(F)2(I)1(F)8(I)1(R)1(I)1(R)1(I)1,0.25,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
12,,Wed Dec 01 19:02:02 EST 2021,SExpressionWLambdaEvaluator.java,1638403322741,461926,0,(I)3,1.0,0.0,0.0,0.0,0.0,0.0,0.006507592190889371,0.0,0.0,0.0,0.0,0.0,0.006507592190889371,5.0,[1638403445858 48 Java-lisp-interpreter/src/main/lisp/evaluator at master · avitkus/Java-lisp-interpreter https://github.com/avitkus/Java-lisp-interpreter/tree/master/src/main/lisp/evaluator, 1638403448615 6 Java-lisp-interpreter/BasicExpressionEvaluator.java at master · avitkus/Java-lisp-interpreter https://github.com/avitkus/Java-lisp-interpreter/blob/master/src/main/lisp/evaluator/BasicExpressionEvaluator.java]
13,,Wed Dec 01 19:09:44 EST 2021,SExpressionWLambdaEvaluator.java,1638403784667,83461,0,(F)2(I)1(F)4(I)9,0.625,0.0,0.0,37.5,0.0,0.0,0.1927710843373494,0.0,0.0,0.07228915662650602,0.0,0.0,0.12048192771084337,2.0,[1638403820002 6 COMP 524 (39 unread) https://piazza.com/class/ksf2o98md07hl?cid=262, 1638403813971 2 COMP 524 (39 unread) https://piazza.com/class/ksf2o98md07hl?cid=273]
