Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,newInstance,new:instance
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,newInstance,new:instance
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,newInstance,new:instance
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,String,string,java.lang.String,string,equals,equals
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.IntegerAtom,integer:atom,main.lisp.parser.terms.IntegerAtom,integer:atom,getValue,get:value
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.IntegerAtom,integer:atom,main.lisp.parser.terms.IntegerAtom,integer:atom,getValue,get:value
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,newInstance,new:instance
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,newInstance,new:instance
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.IntegerAtom,integer:atom,main.lisp.parser.terms.IntegerAtom,integer:atom,getValue,get:value
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.DecimalAtom,decimal:atom,main.lisp.parser.terms.DecimalAtom,decimal:atom,getValue,get:value
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.IntegerAtom,integer:atom,main.lisp.parser.terms.IntegerAtom,integer:atom,getValue,get:value
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,newInstance,new:instance
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.DecimalAtom,decimal:atom,main.lisp.parser.terms.DecimalAtom,decimal:atom,getValue,get:value
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,newInstance,new:instance
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,newInstance,new:instance
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,String,string,java.lang.String,string,equals,equals
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.IntegerAtom,integer:atom,main.lisp.parser.terms.IntegerAtom,integer:atom,getValue,get:value
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.IntegerAtom,integer:atom,main.lisp.parser.terms.IntegerAtom,integer:atom,getValue,get:value
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,newInstance,new:instance
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,newInstance,new:instance
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.IntegerAtom,integer:atom,main.lisp.parser.terms.IntegerAtom,integer:atom,getValue,get:value
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.DecimalAtom,decimal:atom,main.lisp.parser.terms.DecimalAtom,decimal:atom,getValue,get:value
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.IntegerAtom,integer:atom,main.lisp.parser.terms.IntegerAtom,integer:atom,getValue,get:value
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,newInstance,new:instance
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.DecimalAtom,decimal:atom,main.lisp.parser.terms.DecimalAtom,decimal:atom,getValue,get:value
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,newInstance,new:instance
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,newInstance,new:instance
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,String,string,java.lang.String,string,equals,equals
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.IntegerAtom,integer:atom,main.lisp.parser.terms.IntegerAtom,integer:atom,getValue,get:value
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.IntegerAtom,integer:atom,main.lisp.parser.terms.IntegerAtom,integer:atom,getValue,get:value
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,newInstance,new:instance
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,newInstance,new:instance
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.IntegerAtom,integer:atom,main.lisp.parser.terms.IntegerAtom,integer:atom,getValue,get:value
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.DecimalAtom,decimal:atom,main.lisp.parser.terms.DecimalAtom,decimal:atom,getValue,get:value
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.IntegerAtom,integer:atom,main.lisp.parser.terms.IntegerAtom,integer:atom,getValue,get:value
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,newInstance,new:instance
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.DecimalAtom,decimal:atom,main.lisp.parser.terms.DecimalAtom,decimal:atom,getValue,get:value
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,newInstance,new:instance
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,newInstance,new:instance
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,String,string,java.lang.String,string,equals,equals
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.IntegerAtom,integer:atom,main.lisp.parser.terms.IntegerAtom,integer:atom,getValue,get:value
tasks.AbstractComparatorEvaluator,abstract,AbstractComparatorEvaluator,abstract,comparator,none,Evaluator,none,main.lisp.parser.terms.IntegerAtom,integer:atom,main.lisp.parser.terms.IntegerAtom,integer:atom,getValue,get:value
